,path,type,rotation,final_col
0,./boards/video1/right/2024-01-26_16;13;13;0322.png,J,3,"(18, 0)"
1,./boards/video1/right/2024-01-26_16;13;14;0318.png,J,3,"(18, 0)"
2,./boards/video1/right/2024-01-26_16;13;14;0936.png,J,3,"(18, 0)"
3,./boards/video1/right/2024-01-26_16;13;15;0054.png,J,3,"(18, 0)"
4,./boards/video1/right/2024-01-26_16;13;15;0171.png,J,3,"(18, 0)"
5,./boards/video1/right/2024-01-26_16;13;15;0289.png,J,3,"(18, 0)"
6,./boards/video1/right/2024-01-26_16;13;15;0424.png,J,3,"(18, 0)"
7,./boards/video1/right/2024-01-26_16;13;15;0558.png,J,3,"(18, 0)"
8,./boards/video1/right/2024-01-26_16;13;15;0692.png,J,3,"(18, 0)"
9,./boards/video1/right/2024-01-26_16;13;15;0967.png,T,3,"(18, 3)"
10,./boards/video1/right/2024-01-26_16;13;16;0086.png,T,3,"(18, 3)"
11,./boards/video1/right/2024-01-26_16;13;16;0203.png,T,3,"(18, 3)"
12,./boards/video1/right/2024-01-26_16;13;16;0354.png,T,3,"(18, 3)"
13,./boards/video1/right/2024-01-26_16;13;16;0489.png,T,3,"(18, 3)"
14,./boards/video1/right/2024-01-26_16;13;16;0624.png,T,3,"(18, 3)"
15,./boards/video1/right/2024-01-26_16;13;16;0759.png,T,3,"(18, 3)"
16,./boards/video1/right/2024-01-26_16;13;17;0018.png,L,3,"(18, 6)"
17,./boards/video1/right/2024-01-26_16;13;17;0137.png,L,3,"(18, 6)"
18,./boards/video1/right/2024-01-26_16;13;17;0254.png,L,3,"(18, 6)"
19,./boards/video1/right/2024-01-26_16;13;17;0388.png,L,3,"(18, 6)"
20,./boards/video1/right/2024-01-26_16;13;17;0505.png,L,3,"(18, 6)"
21,./boards/video1/right/2024-01-26_16;13;17;0641.png,L,3,"(18, 6)"
22,./boards/video1/right/2024-01-26_16;13;17;0775.png,L,3,"(18, 6)"
23,./boards/video1/right/2024-01-26_16;13;17;0909.png,L,3,"(18, 6)"
24,./boards/video1/right/2024-01-26_16;13;18;0168.png,O,1,"(17, 5)"
25,./boards/video1/right/2024-01-26_16;13;18;0286.png,O,1,"(17, 5)"
26,./boards/video1/right/2024-01-26_16;13;18;0421.png,O,1,"(17, 5)"
27,./boards/video1/right/2024-01-26_16;13;18;0555.png,O,1,"(17, 5)"
28,./boards/video1/right/2024-01-26_16;13;18;0690.png,O,1,"(17, 5)"
29,./boards/video1/right/2024-01-26_16;13;18;0824.png,O,1,"(17, 5)"
